code,year,month,temp_min_abs
C0BA,2016,4,2.2
C0BA,2016,5,4.5
C0BA,2016,6,10.5
C0BA,2016,7,10.9
C0BA,2016,8,12.0
C0BA,2016,9,11.0
C0BA,2016,10,5.1
C0BA,2016,11,2.9
C0BA,2016,12,1.2
C059,2016,1,-1.6
C059,2016,2,-3.6
C059,2016,3,0.4
C059,2016,4,-1.7
C059,2016,5,1.0
C059,2016,6,6.7
C059,2016,7,8.1
C059,2016,8,9.6
C059,2016,9,8.1
C059,2016,10,3.2
C059,2016,11,1.5
C059,2016,12,-2.1
C072,2016,1,-0.6
C072,2016,2,-5.0
C072,2016,3,-0.5
C072,2016,4,-0.1
C072,2016,5,2.3
C072,2016,6,6.8
C072,2016,7,9.1
C072,2016,8,9.7
C072,2016,9,7.9
C072,2016,10,5.6
C072,2016,11,-0.6
C072,2016,12,-4.2
C0B4,2016,1,0.1
C0B4,2016,2,-1.9
C0B4,2016,3,1.5
C0B4,2016,4,-0.2
C0B4,2016,5,2.6
C0B4,2016,6,6.9
C0B4,2016,7,8.0
C0B4,2016,8,9.6
C0B4,2016,9,9.2
C0B4,2016,10,3.3
C0B4,2016,11,2.4
C0B4,2016,12,-1.3
C054,2016,1,-2.6
C054,2016,2,-5.5
C054,2016,3,-2.4
C054,2016,4,-2.5
C054,2016,5,-1.2
C054,2016,6,6.0
C054,2016,7,6.1
C054,2016,8,6.5
C054,2016,9,6.7
C054,2016,10,-0.8
C054,2016,11,-2.0
C054,2016,12,-4.5
C042,2016,1,4.2
C042,2016,2,1.5
C042,2016,3,5.1
C042,2016,4,4.9
C042,2016,5,6.1
C042,2016,6,12.6
C042,2016,7,13.0
C042,2016,8,14.4
C042,2016,9,12.8
C042,2016,10,7.8
C042,2016,11,6.4
C042,2016,12,3.1
C0B9,2016,1,0.3
C0B9,2016,2,-2.1
C0B9,2016,3,0.4
C0B9,2016,4,0.3
C0B9,2016,5,1.4
C0B9,2016,6,9.7
C0B9,2016,7,8.6
C0B9,2016,8,10.2
C0B9,2016,9,10.0
C0B9,2016,10,3.1
C0B9,2016,11,2.3
C0B9,2016,12,-1.0
C0C3,2016,1,0.0
C0C3,2016,2,-2.1
C0C3,2016,3,0.5
C0C3,2016,4,-0.3
C0C3,2016,5,2.2
C0C3,2016,6,8.0
C0C3,2016,7,9.2
C0C3,2016,8,10.0
C0C3,2016,9,10.6
C0C3,2016,10,3.7
C0C3,2016,11,0.5
C0C3,2016,12,-1.0
C066,2016,1,-0.1
C066,2016,2,-2.7
C066,2016,3,-0.8
C066,2016,4,0.7
C066,2016,5,2.7
C066,2016,6,7.4
C066,2016,7,9.5
C066,2016,8,8.9
C066,2016,9,8.3
C066,2016,10,6.0
C066,2016,11,0.1
C066,2016,12,-1.5
C022,2016,1,-1.2
C022,2016,2,-5.3
C022,2016,3,-2.1
C022,2016,4,-2.1
C022,2016,5,1.1
C022,2016,6,5.4
C022,2016,7,7.0
C022,2016,8,7.4
C022,2016,9,6.5
C022,2016,10,3.0
C022,2016,11,-0.6
C022,2016,12,-3.2
C0B3,2016,1,-0.7
C0B3,2016,2,-2.4
C0B3,2016,3,-0.6
C0B3,2016,4,-0.2
C0B3,2016,5,2.0
C0B3,2016,6,8.8
C0B3,2016,7,8.1
C0B3,2016,8,9.8
C0B3,2016,9,9.8
C0B3,2016,10,2.8
C0B3,2016,11,1.2
C0B3,2016,12,-2.0
C037,2016,1,0.5
C037,2016,2,-1.7
C037,2016,3,2.5
C037,2016,4,0.7
C037,2016,5,3.2
C037,2016,6,9.4
C037,2016,7,9.3
C037,2016,8,10.8
C037,2016,9,10.9
C037,2016,10,4.2
C037,2016,11,3.3
C037,2016,12,-0.3
C0E5,2016,1,-0.1
C0E5,2016,2,-1.6
C0E5,2016,3,0.3
C0E5,2016,4,1.1
C0E5,2016,5,1.9
C0E5,2016,6,9.5
C0E5,2016,7,9.3
C0E5,2016,8,10.1
C0E5,2016,9,10.2
C0E5,2016,10,2.9
C0E5,2016,11,0.7
C0E5,2016,12,-1.8
C0DB,2016,1,-1.2
C0DB,2016,2,-3.3
C0DB,2016,3,-1.6
C0DB,2016,4,-0.4
C0DB,2016,5,0.4
C0DB,2016,6,7.1
C0DB,2016,7,7.6
C0DB,2016,8,8.9
C0DB,2016,9,8.4
C0DB,2016,10,1.5
C0DB,2016,11,-0.8
C0DB,2016,12,-2.4
C0D3,2016,1,0.7
C0D3,2016,2,-1.9
C0D3,2016,3,0.0
C0D3,2016,4,0.7
C0D3,2016,5,1.4
C0D3,2016,6,8.4
C0D3,2016,7,7.9
C0D3,2016,8,9.6
C0D3,2016,9,9.4
C0D3,2016,10,1.6
C0D3,2016,11,1.4
C0D3,2016,12,-0.3
C0DD,2016,1,2.0
C0DD,2016,2,-1.7
C0DD,2016,3,1.1
C0DD,2016,4,1.7
C0DD,2016,5,2.7
C0DD,2016,6,9.6
C0DD,2016,7,9.6
C0DD,2016,8,10.7
C0DD,2016,9,10.7
C0DD,2016,10,3.6
C0DD,2016,11,3.0
C0DD,2016,12,0.1
C0E9,2016,1,0.7
C0E9,2016,2,-1.4
C0E9,2016,3,1.7
C0E9,2016,4,2.1
C0E9,2016,5,3.0
C0E9,2016,6,10.0
C0E9,2016,7,10.2
C0E9,2016,8,10.4
C0E9,2016,9,10.8
C0E9,2016,10,4.9
C0E9,2016,11,1.8
C0E9,2016,12,-1.8
C078,2016,1,2.0
C078,2016,2,-1.1
C078,2016,3,0.9
C078,2016,4,1.4
C078,2016,5,3.0
C078,2016,6,9.5
C078,2016,7,10.1
C078,2016,8,11.1
C078,2016,9,10.3
C078,2016,10,4.7
C078,2016,11,1.9
C078,2016,12,-0.5
C052,2016,1,1.2
C052,2016,2,-2.5
C052,2016,3,-0.1
C052,2016,4,1.4
C052,2016,5,1.6
C052,2016,6,8.7
C052,2016,7,7.6
C052,2016,8,9.0
C052,2016,9,9.5
C052,2016,10,2.4
C052,2016,11,0.9
C052,2016,12,-1.8
C0E1,2016,1,-0.7
C0E1,2016,2,-3.4
C0E1,2016,3,0.0
C0E1,2016,4,0.2
C0E1,2016,5,0.9
C0E1,2016,6,9.1
C0E1,2016,7,7.7
C0E1,2016,8,8.9
C0E1,2016,9,9.0
C0E1,2016,10,1.9
C0E1,2016,11,-0.3
C0E1,2016,12,-3.8
C077,2016,1,1.2
C077,2016,2,-1.9
C077,2016,3,0.7
C077,2016,4,2.0
C077,2016,5,2.9
C077,2016,6,10.3
C077,2016,7,8.8
C077,2016,8,10.4
C077,2016,9,10.5
C077,2016,10,3.2
C077,2016,11,1.4
C077,2016,12,-1.3
C080,2016,1,0.1
C080,2016,2,-3.0
C080,2016,3,-0.6
C080,2016,4,0.4
C080,2016,5,0.7
C080,2016,6,7.6
C080,2016,7,7.1
C080,2016,8,8.3
C080,2016,9,8.6
C080,2016,10,1.9
C080,2016,11,0.9
C080,2016,12,-2.7
C0E8,2016,1,0.0
C0E8,2016,2,-2.1
C0E8,2016,3,0.6
C0E8,2016,4,1.6
