code,year,month,humedad_media_diaria
C0EC,2016,5,74.3
C0EC,2016,6,80.0
C0EC,2016,7,81.8
C0EC,2016,8,79.4
C0EC,2016,9,82.1
C0EC,2016,10,84.9
C0EC,2016,11,86.4
C0EC,2016,12,78.1
C0DE,2016,1,87.7
C0DE,2016,2,88.4
C0DE,2016,3,87.4
C0DE,2016,4,80.9
C0DE,2016,5,82.8
C0DE,2016,6,87.1
C0DE,2016,7,89.6
C0DE,2016,8,86.4
C0DE,2016,9,90.6
C0DE,2016,10,92.6
C0DE,2016,11,92.6
C0DE,2016,12,89.9
C017,2016,1,74.2
C017,2016,2,78.5
C017,2016,3,76.9
C017,2016,4,71.1
C017,2016,5,76.1
C017,2016,6,83.6
C017,2016,7,84.2
C017,2016,8,82.1
C017,2016,9,85.2
C017,2016,10,84.8
C017,2016,11,86.9
C017,2016,12,78.9
C0F4,2016,1,73.6
C0F4,2016,2,76.0
C0F4,2016,3,72.8
C0F4,2016,4,66.9
C0F4,2016,5,69.7
C0F4,2016,6,74.4
C0F4,2016,7,74.7
C0F4,2016,8,73.4
C0F4,2016,9,76.2
C0F4,2016,10,77.8
C0F4,2016,11,81.5
C0F4,2016,12,75.6
C0D1,2016,1,81.2
C0D1,2016,2,84.9
C0D1,2016,3,83.3
C0D1,2016,4,76.5
C0D1,2016,5,75.0
C0D1,2016,6,78.4
C0D1,2016,7,81.0
C0D1,2016,8,77.2
C0D1,2016,9,81.2
C0D1,2016,10,83.8
C0D1,2016,11,88.3
C0D1,2016,12,88.8
C043,2016,1,83.4
C043,2016,2,83.6
C043,2016,3,84.1
C043,2016,4,75.6
C043,2016,5,79.3
C043,2016,6,83.1
C043,2016,7,84.1
C043,2016,8,79.5
C043,2016,9,83.8
C043,2016,10,86.2
C043,2016,11,87.7
C043,2016,12,85.5
C007,2016,1,69.6
C007,2016,2,73.6
C007,2016,3,69.4
C007,2016,4,62.9
C007,2016,5,72.5
C007,2016,6,81.0
C007,2016,7,79.4
C007,2016,8,80.0
C007,2016,9,79.3
C007,2016,10,79.0
C007,2016,11,80.6
C007,2016,12,61.4
C0D0,2016,1,77.3
C0D0,2016,2,82.0
C0D0,2016,3,81.3
C0D0,2016,4,73.9
C0D0,2016,5,73.6
C0D0,2016,6,77.5
C0D0,2016,7,81.0
C0D0,2016,8,74.9
C0D0,2016,9,78.9
C0D0,2016,10,82.3
C0D0,2016,11,83.3
C0D0,2016,12,84.6
C064,2016,1,69.5
C064,2016,2,75.1
C064,2016,3,74.3
C064,2016,4,68.9
C064,2016,5,75.1
C064,2016,6,81.2
C064,2016,7,80.6
C064,2016,8,79.5
C064,2016,9,80.1
C064,2016,10,78.5
C064,2016,11,78.2
C064,2016,12,73.0
C028,2016,1,81.2
C028,2016,2,82.8
