code,year,month,lam_agua_nivel_medio
C0D3,2017,1,0.113
C0D3,2017,2,0.108
C0D3,2017,3,0.111
C0D3,2017,4,0.102
C0D3,2017,5,0.099
C0D3,2017,6,0.099
C0D3,2017,7,0.094
C0D3,2017,8,0.080
C0D3,2017,9,0.070
C0D3,2017,10,0.055
C0D3,2017,11,0.084
C0D3,2017,12,0.166
C0DD,2017,1,0.674
C0DD,2017,2,0.542
C0DD,2017,3,0.568
C0DD,2017,4,0.444
C0DD,2017,5,0.362
C0DD,2017,6,0.347
C0DD,2017,7,0.316
C0DD,2017,8,0.313
C0DD,2017,9,0.380
C0DD,2017,10,0.298
C0DD,2017,11,0.539
C0DD,2017,12,0.808
C0E9,2017,1,0.617
C0E9,2017,2,0.573
C0E9,2017,3,0.514
C0E9,2017,4,0.379
C0E9,2017,5,0.282
C0E9,2017,6,0.297
C0E9,2017,7,0.261
C0E9,2017,8,0.237
C0E9,2017,9,0.291
C0E9,2017,10,0.274
C0E9,2017,11,0.480
C0E9,2017,12,0.788
C078,2017,1,0.763
C078,2017,2,0.634
C078,2017,3,0.618
C078,2017,4,0.492
C078,2017,5,0.381
C078,2017,6,0.350
C078,2017,7,0.337
C078,2017,8,0.293
C078,2017,9,0.350
C078,2017,10,0.302
C078,2017,11,0.544
C078,2017,12,0.937
C052,2017,2,0.306
C052,2017,3,0.317
C052,2017,4,0.155
C052,2017,5,0.194
C052,2017,9,0.192
C052,2017,10,0.203
C052,2017,11,0.414
C052,2017,12,0.592
C0E1,2017,1,0.376
C0E1,2017,2,0.346
C0E1,2017,3,0.331
C0E1,2017,4,0.218
C0E1,2017,5,0.152
C0E1,2017,6,0.189
C0E1,2017,7,0.169
C0E1,2017,8,0.163
C0E1,2017,9,0.235
C0E1,2017,10,0.224
C0E1,2017,11,0.363
C0E1,2017,12,0.475
C077,2017,1,0.617
C077,2017,2,0.547
C077,2017,3,0.618
C077,2017,4,0.503
C077,2017,5,0.334
C077,2017,6,0.294
C077,2017,7,0.276
C077,2017,8,0.272
C077,2017,9,0.366
C077,2017,10,0.299
C077,2017,11,0.562
C077,2017,12,0.687
C080,2017,1,0.488
C080,2017,2,0.358
C080,2017,3,0.449
C080,2017,4,0.334
C080,2017,5,0.211
C080,2017,6,0.230
C080,2017,7,0.231
C080,2017,8,0.279
C080,2017,9,0.377
C080,2017,10,0.318
C080,2017,11,0.468
C080,2017,12,0.579
C0E8,2017,1,0.552
C0E8,2017,2,0.457
C0E8,2017,3,0.460
C0E8,2017,4,0.343
C0E8,2017,5,0.235
C0E8,2017,6,0.239
C0E8,2017,7,0.225
C0E8,2017,8,0.205
C0E8,2017,9,0.303
C0E8,2017,10,0.253
C0E8,2017,11,0.501
C0E8,2017,12,0.653
C0EA,2017,1,0.353
C0EA,2017,2,0.288
C0EA,2017,3,0.304
C0EA,2017,4,0.254
C0EA,2017,5,0.206
C0EA,2017,6,0.189
C0EA,2017,7,0.171
C0EA,2017,8,0.161
C0EA,2017,9,0.200
C0EA,2017,10,0.181
C0EA,2017,11,0.317
C0EA,2017,12,0.386
C0F0,2017,1,0.721
C0F0,2017,2,0.636
C0F0,2017,3,0.667
C0F0,2017,4,0.541
C0F0,2017,5,0.389
C0F0,2017,6,0.388
C0F0,2017,7,0.362
C0F0,2017,8,0.356
C0F0,2017,9,0.523
C0F0,2017,10,0.415
C0F0,2017,11,0.684
C0F0,2017,12,0.882
C0E7,2017,1,0.269
C0E7,2017,2,0.240
C0E7,2017,3,0.224
C0E7,2017,4,0.171
C0E7,2017,5,0.117
C0E7,2017,6,0.106
C0E7,2017,7,0.098
C0E7,2017,8,0.086
C0E7,2017,9,0.089
C0E7,2017,10,0.086
C0E7,2017,11,0.156
C0E7,2017,12,0.340
C0DC,2017,1,0.316
C0DC,2017,2,0.269
C0DC,2017,3,0.283
C0DC,2017,4,0.208
C0DC,2017,5,0.170
C0DC,2017,6,0.156
C0DC,2017,7,0.146
