code,year,month,viento_velocidad_racha_maxima
C025,2017,7,88.6
C025,2017,8,74.9
C025,2017,9,70.2
C025,2017,10,59.4
C025,2017,11,72.4
C025,2017,12,126.4
C034,2017,1,46.8
C034,2017,2,96.5
C034,2017,3,52.2
C034,2017,4,56.9
C034,2017,5,58.0
C034,2017,6,80.3
C034,2017,7,53.3
C034,2017,8,42.8
C034,2017,9,46.4
C034,2017,10,37.8
C034,2017,11,62.6
C034,2017,12,95.8
C0AA,2017,1,79.2
C0AA,2017,2,107.6
C0AA,2017,3,65.5
C0AA,2017,4,70.2
C0AA,2017,5,71.3
C0AA,2017,6,80.6
C0AA,2017,7,65.5
C0AA,2017,8,60.1
C0AA,2017,9,58.0
C0AA,2017,10,56.9
C0AA,2017,11,52.9
C0AA,2017,12,88.6
C067,2017,1,69.8
C067,2017,2,97.2
C067,2017,3,52.6
C067,2017,4,64.4
C067,2017,5,58.3
C067,2017,6,51.5
C067,2017,7,61.9
C067,2017,8,51.1
C067,2017,9,47.9
C067,2017,10,63.0
C067,2017,11,70.6
C067,2017,12,98.3
C040,2017,1,61.2
C040,2017,2,123.1
C040,2017,3,69.1
C040,2017,4,62.6
C040,2017,5,72.7
C040,2017,6,79.9
C040,2017,7,74.5
C040,2017,8,52.6
C040,2017,9,58.7
C040,2017,10,52.2
C040,2017,11,63.7
C040,2017,12,143.3
C048,2017,1,94.3
C048,2017,2,135.0
C048,2017,3,91.8
C048,2017,4,86.0
C048,2017,5,85.7
C048,2017,6,81.4
C048,2017,7,77.8
C048,2017,8,66.2
C048,2017,9,72.7
C048,2017,10,67.7
C048,2017,11,85.0
C048,2017,12,101.5
C068,2017,1,122.0
C068,2017,2,147.2
C068,2017,3,86.4
C068,2017,4,72.7
C068,2017,5,96.5
C068,2017,6,70.6
C068,2017,7,83.2
C068,2017,8,78.5
C068,2017,9,60.8
C068,2017,10,71.3
C068,2017,11,64.8
C068,2017,12,81.0
C024,2017,1,82.8
C024,2017,2,130.7
C024,2017,3,73.1
C024,2017,4,59.4
C024,2017,5,77.4
C024,2017,6,72.7
C024,2017,7,69.8
C024,2017,8,61.9
C024,2017,9,63.0
C024,2017,10,64.1
C024,2017,11,63.7
C024,2017,12,88.2
C00A,2017,1,91.4
C00A,2017,2,118.8
C00A,2017,3,72.0
C00A,2017,4,69.8
C00A,2017,5,68.8
C00A,2017,6,54.4
C00A,2017,7,68.0
C00A,2017,8,47.9
C00A,2017,9,60.5
C00A,2017,10,56.2
C00A,2017,11,55.8
C00A,2017,12,72.7
C047,2017,1,90.4
C047,2017,2,140.8
C047,2017,3,92.9
C047,2017,4,78.5
C047,2017,5,78.5
C047,2017,6,87.8
C047,2017,7,84.6
C047,2017,8,60.8
C047,2017,9,67.0
C047,2017,10,62.6
C047,2017,11,76.0
C047,2017,12,121.3
C031,2017,1,65.9
C031,2017,2,113.4
C031,2017,3,67.0
C031,2017,4,69.8
C031,2017,5,74.9
C031,2017,6,80.3
C031,2017,7,60.8
C031,2017,8,68.0
C031,2017,9,72.0
C031,2017,10,57.2
C031,2017,11,61.9
C031,2017,12,83.5
C041,2017,1,95.0
C041,2017,2,116.6
C041,2017,3,84.2
C041,2017,4,86.8
C041,2017,5,63.4
C041,2017,6,61.2
C041,2017,7,69.5
C041,2017,8,67.7
C041,2017,9,38.5
C041,2017,10,64.4
C041,2017,11,49.7
C041,2017,12,103.3
C060,2017,1,91.4
C060,2017,2,107.3
C060,2017,3,83.9
C060,2017,4,80.6
C060,2017,5,67.7
C060,2017,6,70.2
C060,2017,7,59.8
C060,2017,8,58.0
C060,2017,9,61.2
C060,2017,10,55.4
C060,2017,11,86.0
C060,2017,12,78.1
C021,2017,1,91.8
C021,2017,2,131.8
C021,2017,3,79.9
C021,2017,4,74.2
C021,2017,5,88.6
C021,2017,6,74.2
C021,2017,7,75.2
C021,2017,8,71.6
C021,2017,9,70.6
C021,2017,10,63.4
C021,2017,11,87.1
C021,2017,12,96.1
C030,2017,1,82.4
C030,2017,2,108.4
C030,2017,3,68.0
C030,2017,4,55.8
C030,2017,5,69.1
C030,2017,6,65.9
C030,2017,7,66.6
C030,2017,8,60.8
C030,2017,9,48.6
C030,2017,10,54.7
C030,2017,11,49.3
C030,2017,12,81.0
C051,2017,1,55.4
C051,2017,2,115.6
C051,2017,3,48.6
C051,2017,4,65.9
C051,2017,5,61.9
C051,2017,6,60.8
C051,2017,7,45.7
C051,2017,8,49.0
C051,2017,9,43.2
C051,2017,10,44.6
C051,2017,11,72.4
C051,2017,12,129.2
C00B,2017,4,95.8
C00B,2017,5,65.5
C00B,2017,6,64.8
C00B,2017,7,59.8
C00B,2017,8,47.5
C00B,2017,9,42.8
C00B,2017,10,65.2
C00B,2017,11,119.9
C00B,2017,12,104.0
C020,2017,1,73.8
C020,2017,2,116.3
C020,2017,3,80.6
