code,year,month,precipitacion_acumulada
C0C3,2016,7,17.8
C0C3,2016,8,5.4
C0C3,2016,9,116.8
C0C3,2016,10,12.9
C0C3,2016,11,189.5
C0C3,2016,12,41.3
C022,2016,1,115.7
C022,2016,2,346.4
C022,2016,3,253.9
C022,2016,4,54.2
C022,2016,5,50.6
C022,2016,6,59
C022,2016,7,58.8
C022,2016,8,24.7
C022,2016,9,67.1
C022,2016,10,18.7
C022,2016,11,190.1
C022,2016,12,20.9
C0B3,2016,1,118.3
C0B3,2016,2,314.2
C0B3,2016,3,283.6
C0B3,2016,4,64
C0B3,2016,5,69.7
C0B3,2016,6,47
C0B3,2016,7,51.6
C0B3,2016,8,13.5
C0B3,2016,9,82.5
C0B3,2016,10,27.5
C0B3,2016,11,210.2
C0B3,2016,12,23.8
C037,2016,1,117.3
C037,2016,2,333.4
C037,2016,3,297.7
C037,2016,4,81.9
C037,2016,5,71.6
C037,2016,6,59.7
C037,2016,7,58.6
C037,2016,8,14.9
C037,2016,9,119
C037,2016,10,19.5
C037,2016,11,220.9
C037,2016,12,39.5
C0E5,2016,1,113.7
C0E5,2016,2,257.7
C0E5,2016,3,211.3
C0E5,2016,4,83.3
C0E5,2016,5,53.2
C0E5,2016,6,78.4
C0E5,2016,7,24.2
C0E5,2016,8,22.2
C0E5,2016,9,48.9
C0E5,2016,10,41.5
C0E5,2016,11,174.7
C0E5,2016,12,13
C0DB,2016,1,138.1
C0DB,2016,2,373
C0DB,2016,3,287
C0DB,2016,4,105.3
C0DB,2016,5,59.8
C0DB,2016,6,49.4
C0DB,2016,7,33
C0DB,2016,8,32.4
C0DB,2016,9,123.3
C0DB,2016,10,34.5
C0DB,2016,11,211.3
C0DB,2016,12,21.1
C0D3,2016,1,147.1
C0D3,2016,2,381.8
C0D3,2016,3,310.7
C0D3,2016,4,96.6
C0D3,2016,5,84.3
C0D3,2016,6,57.3
C0D3,2016,7,68.8
C0D3,2016,8,29.9
C0D3,2016,9,80.7
