code,year,month,helada_dias
C0C3,2016,7,0
C0C3,2016,8,0
C0C3,2016,9,0
C0C3,2016,10,0
C0C3,2016,11,0
C0C3,2016,12,2
C066,2016,1,2
C066,2016,2,6
C066,2016,3,4
C066,2016,4,0
C066,2016,5,0
C066,2016,6,0
C066,2016,7,0
C066,2016,8,0
C066,2016,9,0
C066,2016,10,0
C066,2016,11,0
C066,2016,12,1
C022,2016,1,3
C022,2016,2,5
C022,2016,3,8
C022,2016,4,5
C022,2016,5,0
C022,2016,6,0
C022,2016,7,0
C022,2016,8,0
C022,2016,9,0
C022,2016,10,0
C022,2016,11,4
C022,2016,12,6
C0B3,2016,1,2
C0B3,2016,2,3
C0B3,2016,3,1
C0B3,2016,4,1
C0B3,2016,5,0
C0B3,2016,6,0
C0B3,2016,7,0
C0B3,2016,8,0
C0B3,2016,9,0
C0B3,2016,10,0
C0B3,2016,11,0
C0B3,2016,12,3
C037,2016,1,0
C037,2016,2,2
C037,2016,3,0
C037,2016,4,0
C037,2016,5,0
C037,2016,6,0
C037,2016,7,0
C037,2016,8,0
C037,2016,9,0
C037,2016,10,0
C037,2016,11,0
C037,2016,12,2
C0E5,2016,1,1
C0E5,2016,2,3
C0E5,2016,3,0
C0E5,2016,4,0
C0E5,2016,5,0
C0E5,2016,6,0
C0E5,2016,7,0
C0E5,2016,8,0
C0E5,2016,9,0
C0E5,2016,10,0
C0E5,2016,11,0
C0E5,2016,12,4
C0DB,2016,1,5
C0DB,2016,2,8
C0DB,2016,3,4
C0DB,2016,4,1
C0DB,2016,5,0
C0DB,2016,6,0
C0DB,2016,7,0
C0DB,2016,8,0
C0DB,2016,9,0
C0DB,2016,10,0
C0DB,2016,11,1
C0DB,2016,12,5
C0D3,2016,1,0
C0D3,2016,2,2
C0D3,2016,3,1
C0D3,2016,4,0
C0D3,2016,5,0
C0D3,2016,6,0
C0D3,2016,7,0
C0D3,2016,8,0
C0D3,2016,9,0
C0D3,2016,10,0
C0D3,2016,11,0
C0D3,2016,12,1
C0DD,2016,1,0
C0DD,2016,2,1
C0DD,2016,3,0
C0DD,2016,4,0
C0DD,2016,5,0
C0DD,2016,6,0
C0DD,2016,7,0
C0DD,2016,8,0
C0DD,2016,9,0
C0DD,2016,10,0
C0DD,2016,11,0
C0DD,2016,12,0
C0E9,2016,1,0
C0E9,2016,2,2
C0E9,2016,3,0
C0E9,2016,4,0
C0E9,2016,5,0
C0E9,2016,6,0
C0E9,2016,7,0
