code,year,month,viento_media_velocidades_maximas
C068,2017,12,41.1
C024,2017,1,42.7
C024,2017,2,54.4
C024,2017,3,46.3
C024,2017,4,40.3
C024,2017,5,41.0
C024,2017,6,38.3
C024,2017,7,42.0
C024,2017,8,39.9
C024,2017,9,35.2
C024,2017,10,35.6
C024,2017,11,40.8
C024,2017,12,47.3
C00A,2017,1,40.8
C00A,2017,2,48.7
C00A,2017,3,43.0
C00A,2017,4,36.2
C00A,2017,5,37.1
C00A,2017,6,36.0
C00A,2017,7,40.3
C00A,2017,8,36.3
C00A,2017,9,33.9
C00A,2017,10,33.8
C00A,2017,11,36.3
C00A,2017,12,39.9
C047,2017,1,54.7
C047,2017,2,66.4
C047,2017,3,57.0
C047,2017,4,45.9
C047,2017,5,49.7
C047,2017,6,47.4
C047,2017,7,46.0
C047,2017,8,45.3
C047,2017,9,41.8
C047,2017,10,43.3
C047,2017,11,51.7
C047,2017,12,64.8
C031,2017,1,41.5
C031,2017,2,51.6
C031,2017,3,46.0
C031,2017,4,44.2
C031,2017,5,43.0
C031,2017,6,44.3
C031,2017,7,47.1
C031,2017,8,45.2
C031,2017,9,39.8
C031,2017,10,35.9
C031,2017,11,37.1
C031,2017,12,44.3
C041,2017,1,34.8
C041,2017,2,49.3
C041,2017,3,41.2
C041,2017,4,34.2
C041,2017,5,37.7
C041,2017,6,33.7
C041,2017,7,36.3
C041,2017,8,35.3
C041,2017,9,28.3
C041,2017,10,30.1
C041,2017,11,30.9
C041,2017,12,38.3
C060,2017,1,46.2
C060,2017,2,50.5
C060,2017,3,46.3
C060,2017,4,43.9
C060,2017,5,41.5
C060,2017,6,37.3
C060,2017,7,37.8
C060,2017,8,38.1
C060,2017,9,34.7
C060,2017,10,33.3
C060,2017,11,41.1
C060,2017,12,46.2
C021,2017,1,47.6
C021,2017,2,58.4
C021,2017,3,50.2
C021,2017,4,44.5
C021,2017,5,45.4
C021,2017,6,41.8
C021,2017,7,45.2
C021,2017,8,43.6
C021,2017,9,38.5
C021,2017,10,40.2
C021,2017,11,47.4
C021,2017,12,53.5
C030,2017,1,31.3
C030,2017,2,47.5
C030,2017,3,39.2
C030,2017,4,35.6
C030,2017,5,37.5
C030,2017,6,34.2
C030,2017,7,39.8
C030,2017,8,38.5
C030,2017,9,31.3
C030,2017,10,29.4
C030,2017,11,29.1
C030,2017,12,32.8
C051,2017,1,27.1
C051,2017,2,43.6
C051,2017,3,34.6
C051,2017,4,30.1
C051,2017,5,30.7
C051,2017,6,28.1
C051,2017,7,27.9
C051,2017,8,30.5
C051,2017,9,26.5
C051,2017,10,25.0
C051,2017,11,27.7
C051,2017,12,37.4
C00B,2017,5,35.5
C00B,2017,6,31.4
C00B,2017,7,32.7
C00B,2017,8,35.4
C00B,2017,9,29.7
C00B,2017,10,29.0
C00B,2017,11,34.4
C00B,2017,12,40.1
C020,2017,1,35.5
C020,2017,2,51.0
C020,2017,3,44.6
C020,2017,4,37.0
C020,2017,5,40.8
C020,2017,6,38.3
C020,2017,7,43.2
C020,2017,8,40.0
C020,2017,9,33.7
C020,2017,10,30.1
C020,2017,11,33.3
C020,2017,12,39.6
C050,2017,1,31.5
C050,2017,2,46.1
C050,2017,3,39.7
C050,2017,4,36.7
C050,2017,5,38.3
C050,2017,6,39.6
C050,2017,7,42.2
C050,2017,8,39.7
C050,2017,9,34.3
C050,2017,10,29.6
C050,2017,11,31.0
C050,2017,12,40.1
C061,2017,1,45.4
C061,2017,2,57.6
C061,2017,3,49.4
C061,2017,4,38.9
C061,2017,5,42.8
C061,2017,6,36.6
C061,2017,7,28.6
C061,2017,8,32.4
C061,2017,9,33.1
C061,2017,10,39.2
C061,2017,11,43.9
C061,2017,12,59.4
C032,2017,1,28.5
C032,2017,2,35.3
C032,2017,3,34.1
C032,2017,4,32.8
C032,2017,5,31.4
C032,2017,6,30.2
C032,2017,7,29.7
C032,2017,8,30.2
C032,2017,9,26.7
C032,2017,10,25.6
C032,2017,11,25.2
C032,2017,12,28.1
C002,2017,1,31.1
C002,2017,2,39.7
C002,2017,3,35.9
C002,2017,4,32.7
C002,2017,5,31.5
C002,2017,6,32.2
C002,2017,7,27.7
C002,2017,8,27.8
C002,2017,9,27.7
C002,2017,10,23.5
C002,2017,11,25.6
C002,2017,12,36.1
C069,2017,1,38.5
C069,2017,2,44.3
C069,2017,3,39.9
C069,2017,4,38.2
C069,2017,5,38.2
C069,2017,6,39.2
C069,2017,7,33.6
C069,2017,8,33.4
C069,2017,9,38.0
C069,2017,10,36.0
C069,2017,11,44.2
C069,2017,12,54.5
C065,2017,1,50.7
C065,2017,2,66.8
C065,2017,3,53.6
C065,2017,4,37.5
C065,2017,5,46.2
C065,2017,6,40.5
C065,2017,7,36.1
C065,2017,8,35.8
C065,2017,9,38.0
C065,2017,10,36.8
C065,2017,11,48.7
C065,2017,12,63.9
C003,2017,1,33.3
C003,2017,2,42.0
C003,2017,3,36.6
C003,2017,4,31.9
C003,2017,5,30.6
C003,2017,6,30.3
C003,2017,7,29.3
C003,2017,8,28.2
C003,2017,9,27.9
C003,2017,10,25.5
C003,2017,11,29.3
C003,2017,12,35.0
C039,2017,1,40.4
C039,2017,2,48.3
C039,2017,3,41.4
C039,2017,4,36.1
C039,2017,5,36.1
C039,2017,6,36.1
C039,2017,7,32.4
C039,2017,8,34.5
C039,2017,9,34.6
C039,2017,10,32.8
C039,2017,11,41.3
C039,2017,12,49.5
C075,2017,1,29.2
C075,2017,2,40.9
C075,2017,3,36.6
C075,2017,4,31.9
C075,2017,5,31.4
C075,2017,6,29.1
C075,2017,7,27.1
C075,2017,8,27.5
C075,2017,9,27.2
C075,2017,10,23.1
C075,2017,11,29.2
C075,2017,12,35.1
C038,2017,1,34.3
C038,2017,2,43.6
C038,2017,3,37.2
C038,2017,4,33.2
C038,2017,5,33.0
C038,2017,6,33.3
C038,2017,7,29.4
