northing,easting,zone
"4782342,468","505023,649",30
"4782252,202","505328,9915",30
,,30
"4779584,261","507076,4648",30
"4779732,288","506854,6731",30
"4777446,403","504752,2062",30
"4779247,373","506286,8021",30
"4780012,748","507084,9267",30
"4782478,479","505352,1022",30
"4780064,971","506579,1964",30
"4780377,553","506941,5324",30
"4782057,893","504074,0901",30
"4780082,718","507086,598",30
"4780424,704","506953,6928",30
"4779747,138","506474,7187",30
"4779071,75","506354,9964",30
"4782165,393","505402,8519",30
"4779264,192","506409,5337",30
"4779205,986","506040,128",30
"4779161,023","506115,8054",30
"4779423,522","506275,3412",30
"4779766,795","506584,7173",30
"4779753,123","506608,8953",30
"4779725,381","506622,878",30
"4780013,929","506545,976",30
"4780192,773","506544,5196",30
"4779637,992","506983,9124",30
"4780269,74","506387,3735",30
"4779161,115","506117,3341",30
"4782120,444","505556,8763",30
"4778466,285","505572,3806",30
"4778466,285","505572,3806",30
0,0,30
4779716,506746,30
"4796418,745","528457,0114",30
"4796999,293","527018,0699",30
"4796879,207","526924,9957",30
"4796478,842","528954,5361",30
"4796930,589","526642,9708",30
"4796823,329","527387,7857",30
"4796819,149","527388,9527",30
"4796821,47","526945,9396",30
"4794821,814","529123,8221",30
"4796196,759","528061,5677",30
"4795165,007","529198,6728",30
"4796221,476","529141,4389",30
"4794521,197","529311,2301",30
"4796287,551","528045,6886",30
"4796555,47","528834,7191",30
"4796022,711","528705,2488",30
"4795995,701","528689,2039",30
"4795471,301","529338,4585",30
"4796570,362","528943,5056",30
"4796254,053","528122,8064",30
"4796813,749","527406,3117",30
"4795105,11","529436,5046",30
"4796912,183","526930,9431",30
"4796545,762","527073,2946",30
"4796413,468","528480,0862",30
"4799059,054","517538,7936",30
"4798998,866","518142,4257",30
"4798792,917","518234,2729",30
"4798366,935","517349,07",30
"4798447,469","518115,624",30
"4798892,166","518740,2496",30
"4798198,285","517906,8371",30
"4797811,87","519976,3941",30
"4798946,443","517979,1914",30
"4798878,124","518265,2884",30
"4798413,141","517653,6429",30
"4798948,019","517970,8323",30
"4799713,809","518113,1129",30
"4797279,839","518504,6284",30
"4798397,331","517771,0911",30
"4798651,529","519143,1171",30
"4798737,869","519178,2386",30
"4799198,558","520022,2823",30
"4797774,825","519986,8312",30
"4797870,084","519923,9786",30
"4798960,277","517973,1492",30
"4788313,21","509131,41",30
"4798662,097","518991,3379",30
"4798837,498","518226,13",30
"4797296,202","519236,585",30
"4798880,616","518248,696",30
"4799116,908","517642,013",30
"4798057,444","519716,4665",30
"4797787,25","519978,4173",30
"4797678,056","518740,3931",30
"4797659,344","518739,6992",30
"4798868,792","518202,1111",30
"4798824,898","518161,1628",30
4799708,518556,30
"4787623,907","506739,6315",30
"4787490,547","506648,3541",30
"4781740,806","508244,0416",30
,,30
"4783620,178","508832,935",30
"4783270,372","508827,9081",30
,,30
"4786569,848","507177,4158",30
"4783638,631","508918,8252",30
"4781562,369","508119,2553",30
"4785204,326","507170,2788",30
,,30
"4783933,413","508765,9539",30
,,30
"4673342,495","593720,5456",30
"4784199,455","509025,8454",30
"4783677,411","509007,4671",30
"4784300,426","508918,3521",30
"4784552,4","508655,0004",30
"4787766,525","506471,9794",30
"4784146,977","509141,1272",30
"4784248,599","508905,2829",30
"4784509,786","507040,8082",30
"4784443,911","508795,4067",30
"4789563,559","502273,0469",30
