_id,URTEA/ANIO,JARDUERA_ZENBAKIA/NUM_ACTUACION,ALTA_DATA/FECHA ALTA,ERABILTZAILEA_EU/USUARIO_EU,ERABILTZAILEA_CAS/USUARIO_CAS,UDALERRIA/MUNICIPIO,HELBIDEA/DIRECCION,ESPEZIE/ESPECIE,KOKALEKUA/UBICACION,ALTUERA/ALTURA,DIAMETROA/DIAMETRO,longitude,latitude,EGOERA_EU/ESTADO_EU,EGOERA_CAS/ESTADO_CAS,ITXIERA_DATA/FECHA CIERRE,ITXIERAKO AGENTEA_EU/AGENTE CIERRE_EU,ITXIERAKO AGENTEA_CAS/AGENTE CIERRE_CAS
49,2018,2607,2018-09-20 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,ASTOLA 64 ABADIÑO,AVISPA ASIÁTICA,ARBOLADO,2,25,"531209,8682","4778064,22",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2018-09-21 00:00:00,BASALAN,BASALAN
50,2018,2568,2018-09-18 00:00:00,BASALAN,BASALAN,ABADIÑO,MUNTXARAZ 22,AVISPA ASIÁTICA,CONSTRUCCIÓN,1,10,"","",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2018-09-18 00:00:00,BASALAN,BASALAN
51,2018,2421,2018-09-13 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,GAZTELUA 34 ABADIÑO,AVISPA ASIÁTICA,CONSTRUCCIÓN,20,60,"532532,4613","4778573,442",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2018-09-14 00:00:00,BASALAN,BASALAN
52,2018,2066,2018-08-30 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,GAZTELUA AUZOA 15 (48220),AVISPA ASIÁTICA,ARBOLADO,0,15,"533916,0603","4778126,628",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2018-08-30 00:00:00,BASALAN,BASALAN
53,2018,2058,2018-08-30 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,ETXEAZPIA 2,AVISPA ASIÁTICA,CONSTRUCCIÓN,20,5,"532090,3244","4777178,019",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2018-08-30 00:00:00,BASALAN,BASALAN
54,2018,2065,2018-08-30 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,ARRANKURRI 41,AVISPA ASIÁTICA,CONSTRUCCIÓN,3,30,"531411,7423","4777811,181",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2018-08-30 00:00:00,BASALAN,BASALAN
55,2018,1882,2018-08-23 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,MENDIOLA 12,AVISPA ASIÁTICA,CONSTRUCCIÓN,1,20,"530718,1863","4774751,723",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2018-08-27 00:00:00,BASALAN,BASALAN
56,2018,1868,2018-08-22 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,MENDIOLA AUZOA 60,AVISPA ASIÁTICA,CONSTRUCCIÓN,5,20,"530026,0028","4776623,208",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2018-08-23 00:00:00,BASALAN,BASALAN
57,2018,1780,2018-08-20 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,MUNTSARATZ OLA ABADIÑO,AVISPA ASIÁTICA,CONSTRUCCIÓN,15,35,"532162,671","4777708,946",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2018-08-21 00:00:00,BASALAN,BASALAN
58,2018,1787,2018-08-20 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,MENDIOLA AUZOA 12,AVISPA ASIÁTICA,CONSTRUCCIÓN,2,15,"530574,9101","4776014,692",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2018-08-21 00:00:00,BASALAN,BASALAN
